SALES,Quantity_sold,Cost_of_sales,Month_NAME,Year_NAME,Day_NAME,Average_Unit_Price,Gross_profit,Total_sales,Total_units_sold,Total_cost_sale
226617.9531,6968,233191.1094,Mar,2014,Sunday,32.52266836,6573.15625,,,
243707.875,7494,250794.2188,Mar,2014,Monday,32.52039965,7086.34375,,,
94849.74219,2707,90571.58594,Mar,2014,Tuesday,35.03869309,-4278.15625,,,
92386.78125,2637,88255.84375,Mar,2014,Wednesday,35.03480518,-4130.9375,,,
180394.8281,5149,172344.2969,Mar,2014,Thursday,35.03492486,-8050.53125,,,
200939.6875,5735,192019.1406,Mar,2014,Friday,35.03743461,-8920.546875,,,
172953.9219,4936,165201.3125,Mar,2014,Saturday,35.03928725,-7752.609375,,,
70194.79688,2003,67061.625,Mar,2014,Sunday,35.04483119,-3133.171875,,,
81378.21094,2323,77703.64844,Mar,2014,Monday,35.03151569,-3674.5625,,,
130227.0156,3822,127394.2891,Mar,2014,Tuesday,34.07300252,-2832.726563,,,
125310.0391,3666,122275.1016,Mar,2014,Wednesday,34.18168005,-3034.9375,,,
119452.3359,3543,118186.5781,Mar,2014,Thursday,33.71502567,-1265.757813,,,
276174.7813,8130,271550.9063,Mar,2014,Friday,33.96983779,-4623.875,,,
357369.2813,10518,352250.8438,Mar,2014,Saturday,33.97692349,-5118.4375,,,
163865.4844,4791,160525.4219,Mar,2014,Sunday,34.20277278,-3340.0625,,,
190719.6094,5583,187072.5938,Mar,2014,Monday,34.16077546,-3647.015625,,,
244535.2031,7155,239700.6875,Apr,2014,Tuesday,34.17682783,-4834.515625,,,
155620.5,4575,153366.0156,Apr,2014,Wednesday,34.01540984,-2254.484375,,,
136001.9844,3997,134523.0625,Apr,2014,Thursday,34.02601561,-1478.921875,,,
190559.8906,5558,187742.2969,Apr,2014,Friday,34.28569461,-2817.59375,,,
217110.5,6320,213540.7344,Apr,2014,Saturday,34.35292722,-3569.765625,,,
119190.1016,3447,116856.3125,Apr,2014,Sunday,34.57792328,-2333.789063,,,
131910.2031,3854,130784.4453,Apr,2014,Monday,34.22683008,-1125.757813,,,
