Date,Sales,Cost Of Sales,Quantity Sold
8/5/2014,96335.44895,93696.21614,2683
9/5/2014,303226.2984,325836.9401,9328
10/5/2014,431695.7092,465253.8157,13306
11/5/2014,200407.2771,215907.8249,6173
12/5/2014,183413.7083,197835.4951,5653
13/5/2014,146166.6011,157693.1893,4503
14/5/2014,201120.7276,218098.7619,6253
15/5/2014,270123.5508,289864.7985,8408
16/5/2014,415315.3839,441790.7672,12949
17/5/2014,498716.9976,526707.377,15508
18/5/2014,166433.1721,174376.6325,5141
19/5/2014,168520.6294,175540.1155,5194
20/5/2014,178123.5321,187748.1722,5550
21/5/2014,194878.8026,204460.6654,6070
22/5/2014,115475.0969,115011.3226,3421
23/5/2014,430521.0245,449274.1863,13384
24/5/2014,590642.8257,614245.7941,18356
25/5/2014,210764.718,217364.463,6500
26/5/2014,218189.3485,225607.5952,6752
27/5/2014,226132.4639,234496.5128,7023
28/5/2014,243720.868,252929.2947,7579
29/5/2014,207429.429,215118.8465,6448
30/5/2014,503149.4313,521651.0861,15637
31/5/2014,603748.7895,626259.3868,18775
1/6/2014,456017.4631,473223.9807,14188
2/6/2014,425845.196,442155.9912,13256
3/6/2014,328217.77,340913.5917,10223
4/6/2014,286405.9988,296902.6725,8904
5/6/2014,184989.8887,192824.8901,5783
6/6/2014,288118.3044,300213.5594,9005
7/6/2014,391930.878,407438.9196,12222
8/6/2014,193772.5811,201254.7125,6037
9/6/2014,214177.9834,220255.2192,6607
10/6/2014,188334.5212,195254.781,5857
11/6/2014,174324.9948,180978.601,5429
12/6/2014,200271.5643,207757.703,6232
13/6/2014,468701.6302,486180.5444,14585
14/6/2014,473425.7542,492135.2923,14745
15/6/2014,224232.1214,233554.0322,6991
16/6/2014,185606.275,193340.3154,5788
17/6/2014,212687.5094,221403.645,6632
18/6/2014,184259.6924,192057.5108,5752
19/6/2014,113735.8162,119544.0198,3578
20/6/2014,203165.083,205350.6431,6119
21/6/2014,203345.2446,206918.9126,6161
22/6/2014,134944.489,135372.527,4015
23/6/2014,138298.2102,139206.0269,4133
24/6/2014,36692.67986,35299.06424,1047
25/6/2014,56077.54269,53925.25763,1601
26/6/2014,55780.70745,53688.2412,1592
27/6/2014,131721.2383,127302.4271,3759
28/6/2014,146169.0766,141012.3294,4172
29/6/2014,62073.58541,60083.86984,1772
30/6/2014,93619.84699,90294.37609,2672
1/7/2014,180183.0314,173842.9209,5143
2/7/2014,104760.7062,101615.732,2990
3/7/2014,93450.53368,90927.08966,2667
4/7/2014,98087.5559,95423.27399,2799
5/7/2014,117562.2629,114395.6276,3355
6/7/2014,70153.08097,68252.24221,2002
7/7/2014,68918.41529,66990.88135,1967
8/7/2014,108417.4028,105373.3,3094
9/7/2014,81802.60821,79496.49424,2335
10/7/2014,103998.5597,101270.9711,2968
11/7/2014,134018.0893,130633.2627,3825
12/7/2014,99277.2995,96688.49781,2833
13/7/2014,49705.232,48370.30899,1419
14/7/2014,75384.57455,73393.44659,2151
15/7/2014,110288.2342,107437.381,3148
16/7/2014,156536.6862,164641.354,4825
17/7/2014,80823.0592,78844.8605,2307
18/7/2014,124615.6856,121612.1789,3557
